country_name,year,life_ladder,social_support,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Congo (Brazzaville),2016,4.119,0.615,0.786,-0.091,0.79
Congo (Brazzaville),2017,4.884,0.655,0.778,-0.148,0.763
Congo (Brazzaville),2018,5.49,0.621,0.699,-0.105,0.738
Congo (Brazzaville),2019,5.213,0.625,0.686,-0.059,0.741
Congo (Brazzaville),2020,5.079,0.597,0.761,-0.024,0.728
Congo (Brazzaville),2021,4.921,0.568,0.738,-0.023,0.733
Congo (Brazzaville),2022,5.805,0.646,0.698,0.025,0.76
Congo (Brazzaville),2023,4.954,0.561,0.702,-0.051,0.745
Costa Rica,2015,6.854,0.878,0.907,-0.068,0.761
Costa Rica,2016,7.136,0.901,0.873,-0.042,0.781
Costa Rica,2017,7.225,0.922,0.936,-0.086,0.742
Costa Rica,2018,7.141,0.876,0.942,-0.117,0.781
Costa Rica,2019,6.998,0.906,0.927,-0.156,0.836
Costa Rica,2020,6.338,0.834,0.889,-0.139,0.772
Costa Rica,2021,6.408,0.876,0.887,-0.029,0.782
Costa Rica,2022,7.077,0.902,0.91,-0.049,0.751
Costa Rica,2023,7.384,0.875,0.933,-0.067,0.767
Croatia,2015,5.205,0.768,0.694,-0.104,0.849
Croatia,2016,5.417,0.798,0.672,-0.072,0.884
Croatia,2017,5.343,0.77,0.716,-0.112,0.892
Croatia,2018,5.536,0.91,0.691,-0.158,0.925
Croatia,2019,5.626,0.936,0.739,-0.145,0.932
Croatia,2020,6.508,0.923,0.837,-0.071,0.961
Croatia,2021,6.287,0.918,0.842,0.001,0.934
Croatia,2022,5.579,0.91,0.593,-0.213,0.875
Croatia,2023,5.958,0.909,0.573,-0.205,0.81
Cyprus,2015,5.439,0.77,0.628,0.107,0.893
Cyprus,2016,5.795,0.786,0.756,-0.036,0.898
Cyprus,2017,6.062,0.819,0.812,0.036,0.851
Cyprus,2018,6.276,0.826,0.794,-0.031,0.848
Cyprus,2019,6.137,0.776,0.74,-0.018,0.865
Cyprus,2020,6.26,0.806,0.763,-0.086,0.816
Cyprus,2021,6.269,0.855,0.718,-0.038,0.876
Cyprus,2022,5.865,0.82,0.698,0.008,0.887
Czechia,2015,6.608,0.911,0.808,-0.152,0.886
Czechia,2016,6.736,0.931,0.85,-0.204,0.9
Czechia,2017,6.79,0.901,0.832,-0.183,0.867
Czechia,2018,7.034,0.929,0.79,-0.299,0.851
Czechia,2020,6.897,0.964,0.906,-0.135,0.884
Czechia,2021,6.942,0.95,0.891,0.157,0.863
Czechia,2022,6.695,0.944,0.908,0.093,0.831
Czechia,2023,6.827,0.927,0.906,0.025,0.832
Denmark,2015,7.514,0.96,0.941,0.216,0.191
Denmark,2016,7.558,0.954,0.948,0.132,0.21
Denmark,2017,7.594,0.952,0.955,0.149,0.181
Denmark,2018,7.649,0.958,0.935,0.012,0.151
Denmark,2019,7.693,0.958,0.963,0.015,0.174
Denmark,2020,7.515,0.947,0.938,0.045,0.214
Denmark,2021,7.699,0.945,0.933,0.13,0.173
Denmark,2022,7.545,0.97,0.93,0.222,0.203
Denmark,2023,7.504,0.916,0.923,0.089,0.184
Dominican Republic,2015,5.062,0.893,0.856,-0.07,0.755
Dominican Republic,2016,5.239,0.895,0.873,-0.085,0.737
Dominican Republic,2017,5.605,0.894,0.855,-0.126,0.76
Dominican Republic,2018,5.433,0.862,0.867,-0.155,0.762
Dominican Republic,2019,6.004,0.884,0.877,-0.127,0.746
Dominican Republic,2020,5.168,0.806,0.835,-0.128,0.636
Dominican Republic,2021,6.031,0.857,0.859,-0.088,0.677
Dominican Republic,2022,5.518,0.82,0.853,-0.086,0.656
Dominican Republic,2023,5.921,0.86,0.867,-0.107,0.667
Ecuador,2015,5.964,0.856,0.801,-0.12,0.666
Ecuador,2016,6.115,0.842,0.846,-0.021,0.774
Ecuador,2017,5.84,0.849,0.879,-0.173,0.734
Ecuador,2018,6.128,0.851,0.869,-0.105,0.831
Ecuador,2019,5.809,0.808,0.83,-0.121,0.839
Ecuador,2020,5.354,0.804,0.829,-0.163,0.855
Ecuador,2021,5.435,0.786,0.821,-0.086,0.775
Ecuador,2022,5.887,0.825,0.759,-0.083,0.866
Ecuador,2023,5.852,0.782,0.731,-0.106,0.84
El Salvador,2015,6.018,0.791,0.733,-0.163,0.805
El Salvador,2016,6.14,0.794,0.8,-0.192,0.797
El Salvador,2017,6.339,0.829,0.758,-0.179,0.778
El Salvador,2018,6.241,0.82,0.863,-0.102,0.801
El Salvador,2019,6.455,0.764,0.877,-0.116,0.682
El Salvador,2020,5.462,0.696,0.924,-0.132,0.583
El Salvador,2021,6.431,0.796,0.915,-0.085,0.663
El Salvador,2022,6.492,0.772,0.914,-0.116,0.621
El Salvador,2023,6.482,0.744,0.942,-0.104,0.496
Estonia,2015,5.629,0.918,0.815,-0.169,0.569
Estonia,2016,5.65,0.938,0.843,-0.155,0.639
Estonia,2017,5.938,0.936,0.862,-0.107,0.668
Estonia,2018,6.091,0.933,0.886,-0.147,0.621
Estonia,2019,6.035,0.934,0.887,-0.101,0.576
Estonia,2020,6.453,0.958,0.954,-0.09,0.398
Estonia,2021,6.554,0.946,0.926,0.046,0.441
Estonia,2022,6.357,0.933,0.904,0.136,0.39
Estonia,2023,6.43,0.958,0.915,0.032,0.334
Ethiopia,2015,4.573,0.626,0.803,0.109,0.567
Ethiopia,2016,4.298,0.719,0.744,0.035,0.703
Ethiopia,2017,4.18,0.734,0.717,-0.002,0.757
Ethiopia,2018,4.379,0.74,0.74,0.036,0.799
Ethiopia,2019,4.1,0.748,0.754,0.049,0.732
Ethiopia,2020,4.549,0.823,0.769,0.183,0.784
Ethiopia,2022,3.628,0.74,0.674,0.357,0.793
Ethiopia,2023,4.093,0.67,0.631,0.212,0.8
Finland,2015,7.448,0.948,0.93,0.105,0.223
Finland,2016,7.66,0.954,0.948,-0.033,0.25
Finland,2017,7.788,0.964,0.962,-0.008,0.192
Finland,2018,7.858,0.962,0.938,-0.133,0.199
Finland,2019,7.78,0.937,0.948,-0.058,0.195
Finland,2020,7.889,0.962,0.962,-0.123,0.164
Finland,2021,7.794,0.97,0.963,-0.039,0.192
Finland,2022,7.729,0.974,0.959,0.101,0.19
Finland,2023,7.699,0.947,0.943,-0.001,0.185
France,2015,6.358,0.896,0.817,-0.145,0.641
France,2016,6.475,0.885,0.787,-0.097,0.623
France,2017,6.635,0.931,0.834,-0.129,0.601
France,2018,6.666,0.921,0.816,-0.143,0.582
France,2019,6.69,0.958,0.827,-0.139,0.568
France,2020,6.714,0.947,0.823,-0.176,0.565
France,2021,6.656,0.915,0.837,-0.104,0.561
France,2022,6.614,0.866,0.798,-0.027,0.533
France,2023,6.557,0.85,0.776,0.01,0.558
Gabon,2015,4.661,0.756,0.671,-0.196,0.867
Gabon,2016,4.832,0.78,0.699,-0.207,0.817
Gabon,2017,4.782,0.807,0.652,-0.231,0.868
Gabon,2018,4.783,0.785,0.719,-0.2,0.823
Gabon,2019,4.914,0.763,0.736,-0.206,0.846
Gabon,2020,4.887,0.701,0.528,-0.194,0.789
